bucket,experiment,job_id,prompt_key,source_id,spectral_op,style_category,style_id,task_type,clipI_content,clipI_style,clipT_gain,clipT_source,clipT_target,clip_leak_gap,colorhist_content,colorhist_style,dino_content,dino_style,fourier_style,leak_clip_style,leak_dino_style,leak_gap,lpips_content,output,seconds,siglip_content,siglip_style
spectral_source,spectral_source,src_pie_6_0_raw,,pie_6_0,raw,,,color,0.86431,,0.09526,0.27597,0.37123,,0.16069,,0.66688,,,,,,0.46992,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_6_0_raw_s0.png,53.3,0.83939,
spectral_source,spectral_source,src_pie_6_0_phase_only,,pie_6_0,phase_only,,,color,0.82546,,0.08073,0.24664,0.32737,,0.15027,,0.55225,,,,,,0.54112,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_6_0_phase_only_s0.png,54.0,0.76689,
spectral_source,spectral_source,src_pie_6_0_amplitude_only,,pie_6_0,amplitude_only,,,color,0.78204,,0.09381,0.21011,0.30392,,0.11362,,0.36714,,,,,,0.62145,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_6_0_amplitude_only_s0.png,54.3,0.76947,
spectral_source,spectral_source,src_pie_6_0_low_band,,pie_6_0,low_band,,,color,0.83836,,0.08676,0.28581,0.37257,,0.15143,,0.57575,,,,,,0.51196,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_6_0_low_band_s0.png,54.3,0.81242,
spectral_source,spectral_source,src_pie_6_0_high_band,,pie_6_0,high_band,,,color,0.81064,,0.08665,0.2323,0.31895,,0.14491,,0.44171,,,,,,0.56545,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_6_0_high_band_s0.png,54.2,0.74907,
spectral_source,spectral_source,src_pie_7_0_raw,,pie_7_0,raw,,,material,0.75395,,0.08266,0.22405,0.30672,,0.02797,,0.30229,,,,,,0.53513,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_7_0_raw_s0.png,54.2,0.72636,
spectral_source,spectral_source,src_pie_7_0_phase_only,,pie_7_0,phase_only,,,material,0.70617,,0.09126,0.24437,0.33563,,0.24373,,0.26015,,,,,,0.5731,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_7_0_phase_only_s0.png,54.0,0.72356,
spectral_source,spectral_source,src_pie_7_0_amplitude_only,,pie_7_0,amplitude_only,,,material,0.73785,,0.09113,0.22872,0.31984,,0.04784,,0.24503,,,,,,0.54581,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_7_0_amplitude_only_s0.png,53.9,0.67311,
spectral_source,spectral_source,src_pie_7_0_low_band,,pie_7_0,low_band,,,material,0.75278,,0.08797,0.23457,0.32254,,0.03459,,0.29282,,,,,,0.50072,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_7_0_low_band_s0.png,53.9,0.72448,
spectral_source,spectral_source,src_pie_7_0_high_band,,pie_7_0,high_band,,,material,0.71979,,0.0896,0.2396,0.3292,,0.24422,,0.27988,,,,,,0.56904,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_7_0_high_band_s0.png,54.1,0.69386,
spectral_source,spectral_source,src_pie_1_0_raw,,pie_1_0,raw,,,object_replace,0.80622,,0.01677,0.26859,0.28536,,0.06133,,0.59081,,,,,,0.58057,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_1_0_raw_s0.png,54.1,0.7027,
spectral_source,spectral_source,src_pie_1_0_phase_only,,pie_1_0,phase_only,,,object_replace,0.72161,,-0.03998,0.28955,0.24957,,0.1473,,0.79252,,,,,,0.90277,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_1_0_phase_only_s0.png,53.9,0.80053,
spectral_source,spectral_source,src_pie_1_0_amplitude_only,,pie_1_0,amplitude_only,,,object_replace,0.63491,,0.00761,0.21586,0.22348,,0.03751,,0.11853,,,,,,0.88956,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_1_0_amplitude_only_s0.png,53.9,0.63375,
spectral_source,spectral_source,src_pie_1_0_low_band,,pie_1_0,low_band,,,object_replace,0.84051,,0.01,0.26635,0.27635,,0.06325,,0.59083,,,,,,0.62701,e50_spectral_kontext_pilot/outputs/spectral_source/src_pie_1_0_low_band_s0.png,54.2,0.64262,
