prompt_id,seed,step_index,node_i,label_action,label_horizon,sigma,delta_sigma,progress,remaining_steps,raw_rel_l1,acc_rel_l1,h_norm,h_norm_drift,h_cos_drift,refresh_distance,prev_action_code,src_rel_l1,tar_rel_l1,cos_hsrc_htar,rel_l1_src_tar,branch_asymmetry,dv_norm_proxy,damage_fresh,damage_cache,damage_jump_1.25,damage_jump_1.5,damage_jump_2.0
geneval_single_object_1,0,2,2,cache,1.0,0.9606437683105469,-0.020715534687042236,0.07142857142857142,26.0,0.73046875,0.0,1.953125,0.7184684684683649,0.024542629718780518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014854517405613924,0.11467646104974273,0.12028026418433073,0.130810462434614
geneval_single_object_1,0,4,4,cache,1.0,0.91847163438797,-0.022238194942474365,0.14285714285714285,24.0,0.408203125,0.0,0.58984375,0.3760330578508419,0.01970696449279785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013046134029415934,0.12259106622777924,0.13179464519976872,0.14473880187291815
geneval_single_object_1,0,6,6,cache,1.0,0.8731700778007507,-0.023935258388519287,0.21428571428571427,22.0,0.259765625,0.259765625,0.326171875,0.21962616822377362,0.012218952178955078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010905584219347649,0.12578870393412608,0.1322042250943958,0.14634874599501535
geneval_single_object_1,0,8,8,cache,1.0,0.8243773579597473,-0.025834202766418457,0.2857142857142857,20.0,0.2021484375,0.2021484375,0.21875,0.17037037036972424,0.008144080638885498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008490512001724241,0.12863971057087686,0.13786457184116352,0.15094564335400268
geneval_single_object_1,0,10,10,cache,1.0,0.771673858165741,-0.02796834707260132,0.35714285714285715,18.0,0.15234375,0.15234375,0.16796875,0.11794871794809857,0.005285978317260742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007971500158641837,0.12851499036671468,0.13663539483658121,0.1525292732763168
geneval_single_object_1,0,12,12,cache,1.0,0.714569628238678,-0.030378341674804688,0.42857142857142855,16.0,0.12109375,0.0,0.140625,0.08280254777016058,0.003538787364959717,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010119986981412058,0.12793781877189264,0.1357260949863816,0.15321937080880696
geneval_single_object_1,0,14,14,cache,1.0,0.652489423751831,-0.03311377763748169,0.5,14.0,0.1103515625,0.21875,0.12158203125,0.07089552238751792,0.002489030361175537,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010633815429374364,0.12290304342060492,0.1308423544715293,0.14699342181476818
geneval_single_object_1,0,16,16,cache,1.0,0.5847535133361816,-0.03623616695404053,0.5714285714285714,12.0,0.10302734375,0.10302734375,0.10791015625,0.06751054852262336,0.0020020604133605957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007820507040212563,0.11385334692353395,0.12110786550344174,0.13629241306878379
geneval_single_object_1,0,18,18,cache,1.0,0.5105518102645874,-0.03982192277908325,0.6428571428571429,10.0,0.099609375,0.29541015625,0.0966796875,0.05714285714229986,0.0019101500511169434,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014804119141111863,0.10204489855653297,0.10766448106166332,0.12020390744238897
geneval_single_object_1,0,20,20,cache,1.0,0.4289122223854065,-0.043967485427856445,0.7142857142857143,8.0,0.099609375,0.099609375,0.0869140625,0.053191489361122675,0.0023002028465270996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012189973900008387,0.0917527402348432,0.094719905485872,0.10079962517799469
geneval_single_object_1,0,22,22,fresh,0.0,0.338657408952713,-0.04879581928253174,0.7857142857142857,6.0,0.123046875,0.0,0.0810546875,0.02923976608152115,0.004429340362548828,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036146133794460245,0.04432978222423305,0.049750422205818094,0.06336517203493246
geneval_single_object_1,0,24,24,fresh,0.0,0.23834773898124695,-0.05446554720401764,0.8571428571428571,4.0,0.1171875,0.2451171875,0.078125,0.012345679012189604,0.005357980728149414,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027010354377005327,0.03661864275839628,0.042793746839925983,0.056139540065493244
geneval_single_object_2,0,2,2,fresh,0.0,0.9606437683105469,-0.020715534687042236,0.07142857142857142,26.0,0.73046875,0.0,1.9609375,0.7173423423422389,0.024614274501800537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028690556356430114,0.13754434584371558,0.14436066334822906,0.1547261618805511
geneval_single_object_2,0,4,4,cache,1.0,0.91847163438797,-0.022238194942474365,0.14285714285714285,24.0,0.412109375,0.0,0.58984375,0.37860082304486864,0.019614577293395996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01193370890893191,0.14856111527513294,0.1551317111949812,0.1754737530717728
geneval_single_object_2,0,6,6,cache,1.0,0.8731700778007507,-0.023935258388519287,0.21428571428571427,22.0,0.263671875,0.263671875,0.322265625,0.22897196261627462,0.011800050735473633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008609803503424109,0.14929041020470868,0.1574031547117195,0.17459529957889144
geneval_single_object_2,0,8,8,cache,1.0,0.8243773579597473,-0.025834202766418457,0.2857142857142857,20.0,0.2060546875,0.2060546875,0.212890625,0.1742424242417484,0.007789433002471924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006857199150543083,0.14929601450193206,0.15707076687219224,0.17408253722818254
geneval_single_object_2,0,10,10,cache,1.0,0.771673858165741,-0.02796834707260132,0.35714285714285715,18.0,0.1591796875,0.1591796875,0.16015625,0.12765957446738976,0.0050414204597473145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009248627279965007,0.1449177510650821,0.1534868572038544,0.17155449224563551
geneval_single_object_2,0,12,12,cache,1.0,0.714569628238678,-0.030378341674804688,0.42857142857142855,16.0,0.1298828125,0.0,0.12890625,0.1020408163258198,0.003491342067718506,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00972180154842046,0.13804722808831732,0.14684526754196786,0.16520947124507654
geneval_single_object_2,0,14,14,cache,1.0,0.652489423751831,-0.03311377763748169,0.5,14.0,0.12109375,0.24072265625,0.10791015625,0.08677685950339785,0.0026577115058898926,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009002995364704749,0.12727618583440733,0.13590890231523878,0.15303466249112166
geneval_single_object_2,0,16,16,cache,1.0,0.5847535133361816,-0.03623616695404053,0.5714285714285714,12.0,0.1103515625,0.1103515625,0.09326171875,0.07729468598957343,0.002265036106109619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00639328979211586,0.11323224591727844,0.12118404245315544,0.13530401132671122
geneval_single_object_2,0,18,18,cache,1.0,0.5105518102645874,-0.03982192277908325,0.6428571428571429,10.0,0.10498046875,0.0,0.08251953125,0.0611111111104158,0.002576887607574463,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011059582634797548,0.099419576107685,0.10512524011504916,0.11665995355170787
geneval_single_object_2,0,20,20,cache,1.0,0.4289122223854065,-0.043967485427856445,0.7142857142857143,8.0,0.1044921875,0.21044921875,0.07421875,0.049999999999359994,0.0032429099082946777,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116706157316386,0.08711901437541525,0.08960614897809291,0.09525839569696619
geneval_single_object_2,0,22,22,cache,1.0,0.338657408952713,-0.04879581928253174,0.7857142857142857,6.0,0.1240234375,0.1240234375,0.06982421875,0.027210884353362393,0.0057337284088134766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015517387016735001,0.020488056720479594,0.02175086027628753,0.028830195516174665
